id,folder,expected,objective,ok,status
1,IndustryOR_1,219816.0,5.0,False,OK
2,IndustryOR_2,125,175.0,False,OK
3,IndustryOR_3,10349920.0,10349920.0,True,OK
4,IndustryOR_4,30400.0,30400.0,True,OK
5,IndustryOR_5,18.6943,18.985714285714284,False,OK
6,IndustryOR_6,10755.00,,,RUN_FAILED
7,IndustryOR_7,904590.0,904590.0,True,OK
8,IndustryOR_8,14,14.0,True,OK
9,IndustryOR_9,623.0,623.0,True,OK
10,IndustryOR_10,3,3.0,True,OK
11,IndustryOR_11,3867,4273.0,False,OK
12,IndustryOR_12,43200.00,0.0,False,OK
13,IndustryOR_13,180000.0,180000.0,True,OK
14,IndustryOR_14,123.80,153.33333333333331,False,OK
15,IndustryOR_15,168,208.0,False,OK
16,IndustryOR_16,4100.0,0.0,False,OK
17,IndustryOR_17,0.5765,2.52,False,OK
18,IndustryOR_18,5,254999.99999,False,OK
19,IndustryOR_19,4000.0,4000.0,True,OK
20,IndustryOR_20,956.0,,,RUN_FAILED
21,IndustryOR_21,15000.0,,,RUN_FAILED
22,IndustryOR_22,156483,,,RUN_FAILED
23,IndustryOR_23,21500.0,,,RUN_FAILED
24,IndustryOR_24,1000.0,,,RUN_FAILED
25,IndustryOR_25,510000.0,,,RUN_FAILED
26,IndustryOR_26,53,,,RUN_FAILED
27,IndustryOR_27,1146.4142,,,RUN_FAILED
28,IndustryOR_28,580000,,,RUN_FAILED
29,IndustryOR_29,2000,,,RUN_FAILED
30,IndustryOR_30,32.43589743589744,,,RUN_FAILED
31,IndustryOR_31,1190.41,,,RUN_FAILED
32,IndustryOR_32,2924.0,,,RUN_FAILED
33,IndustryOR_33,1000.0,1000.0,True,OK
34,IndustryOR_34,7.0,7.0,True,OK
35,IndustryOR_35,14.1,14.1,True,OK
36,IndustryOR_36,175.37,,,RUN_FAILED
37,IndustryOR_37,11250.0,11250.0,True,OK
38,IndustryOR_38,14,14.0,True,OK
39,IndustryOR_39,600.0,600.0,True,OK
40,IndustryOR_40,33288066.626,36288567.03694582,False,OK
41,IndustryOR_41,964640,964640.0,True,OK
42,IndustryOR_42,150.0,150.0,True,OK
43,IndustryOR_43,6800,6800.0,True,OK
44,IndustryOR_44,685,685.0,True,OK
45,IndustryOR_45,700,712.0,False,OK
46,IndustryOR_46,715.70,70.0,False,OK
47,IndustryOR_47,20241.615384615387,,,RUN_FAILED
48,IndustryOR_48,11250.0,11250.0,True,OK
49,IndustryOR_49,208000.0,0.0,False,OK
50,IndustryOR_50,9100,0.0,False,OK
51,IndustryOR_51,4240,4240.0,True,OK
52,IndustryOR_52,150,150.0,True,OK
53,IndustryOR_53,3050.0,3050.0000000000005,True,OK
54,IndustryOR_54,135.26666666666668,135.26666666666668,True,OK
55,IndustryOR_55,4,4.0,True,OK
56,IndustryOR_56,-700,19050.0,False,OK
57,IndustryOR_57,600.0,350.0000000000001,False,OK
58,IndustryOR_58,240000.0,240000.0,True,OK
59,IndustryOR_59,6160.0,6160.000000000001,True,OK
60,IndustryOR_60,153.0,120.0,False,OK
61,IndustryOR_61,37000,37000.0,True,OK
62,IndustryOR_62,90000.0,90.0,False,OK
63,IndustryOR_63,640.0,640.0,True,OK
64,IndustryOR_64,38000.0,38000.0,True,OK
65,IndustryOR_65,30500.0,0.0,False,OK
66,IndustryOR_66,25000.0,,,RUN_FAILED
67,IndustryOR_67,3160500.0,3160500.0,True,OK
68,IndustryOR_68,1030.0,1030.0,True,OK
69,IndustryOR_69,20.0,0.0,False,OK
70,IndustryOR_70,35,0.0,False,OK
71,IndustryOR_71,330,0.0,False,OK
72,IndustryOR_72,135000.0,135000.0,True,OK
73,IndustryOR_73,1600.0,1600.0,True,OK
74,IndustryOR_74,115000,101000.0,False,OK
75,IndustryOR_75,57.0,57.0,True,OK
76,IndustryOR_76,4700,0.0,False,OK
77,IndustryOR_77,1005.0,435.0,False,OK
78,IndustryOR_78,172,172.0,True,OK
79,IndustryOR_79,9800.0,9800.0,True,OK
80,IndustryOR_80,84000,84000.0,True,OK
81,IndustryOR_81,28.6,8.0,False,OK
82,IndustryOR_82,28,28.0,True,OK
83,IndustryOR_83,26.0,26.0,True,OK
84,IndustryOR_84,23000.0,23000.000000000004,True,OK
85,IndustryOR_85,1866.37,,,RUN_FAILED
86,IndustryOR_86,77500,77499.99999999999,True,OK
87,IndustryOR_87,4170,4170.0,True,OK
88,IndustryOR_88,1.25,1.25,True,OK
89,IndustryOR_89,146.667,159.99999999999997,False,OK
90,IndustryOR_90,3600,3600.0,True,OK
91,IndustryOR_91,408.9,408.0,False,OK
92,IndustryOR_92,6200,6200.0,True,OK
93,IndustryOR_93,3360,3360.0,True,OK
94,IndustryOR_94,5000000,7000000.0,False,OK
95,IndustryOR_95,528,528.0,True,OK
96,IndustryOR_96,19.6,0.0,False,OK
97,IndustryOR_97,115,115.0,True,OK
98,IndustryOR_98,137500.0,165900.0,False,OK
99,IndustryOR_99,0.6075,-0.49840310376743346,False,OK
100,IndustryOR_100,84,0.0,False,OK
